"mhm_protocol","mhm_measuredDate","mhm_createDate","mhm_updateDate","mhm_publishDate","mhm_organizationId","mhm_organizationName","mhm_siteId","mhm_siteName","mhm_ExtraData","mhm_AbdomenCloseupPhotoUrls","mhm_LarvaeCount","mhm_MosquitoEggs","mhm_LocationAccuracyM","mhm_MosquitoEggCount","mhm_Comments","mhm_WaterSourcePhotoUrls","mhm_Latitude","mhm_Longitude","mhm_MosquitoHabitatMapperId","mhm_BreedingGroundEliminated","mhm_MeasuredAt","mhm_MeasurementElevation","mhm_Userid","mhm_Genus","mhm_LocationMethod","mhm_WaterSource","mhm_MosquitoAdults","mhm_Species","mhm_MosquitoPupae","mhm_DataSource","mhm_LarvaFullBodyPhotoUrls","mhm_LastIdentifyStage","mhm_WaterSourceType","mhm_GlobeTeams"
"mosquito_habitat_mapper","2017-05-31","2022-02-22T08:37:26","2022-02-22T08:37:26","2022-06-28T16:50:17","14564129","SciStarter Citizen Scientists, LLC GLOBE v-School","47350","16SEE200984","","","","","","","","https://data.globe.gov/system/photos/2017/05/31/167552/original.jpg","36.130087","-86.777727","10","true","2017-05-31T20:10:00","165.8","21767934","","","other","","","","GLOBE Observer App","","","container: artificial",""
"mosquito_habitat_mapper","2017-07-06","2022-02-22T08:38:29","2022-02-22T08:38:29","2022-06-28T16:50:17","24610401","Terre Rouge SSS","53208","40KEC556754","","https://data.globe.gov/system/photos/2017/07/06/179670/original.jpg","1-25","false","","","","","-20.117747","57.531913","100","true","2017-07-06T11:19:00","42.9","24612101","","","ditch","true","","true","GLOBE Observer App","https://data.globe.gov/system/photos/2017/07/06/179669/original.jpg","identify-siphon-shape","still: lake/pond/swamp",""
"mosquito_habitat_mapper","2017-09-22","2022-02-22T08:43:56","2022-02-22T08:43:56","2022-06-28T16:50:17","24476638","Escola Estadual Faria Sobrinho","56772","22JGS508753","","","","","","","","https://data.globe.gov/system/photos/2017/09/22/485533/original.jpg; https://data.globe.gov/system/photos/2017/09/22/485534/original.jpg; https://data.globe.gov/system/photos/2017/09/22/485535/original.jpg","-25.518352","-48.504536","1000","false","2017-09-22T19:42:00","12","24476444","","","tree holes","","","","GLOBE Observer App","","","container: natural",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","54203550","CHSE","149726","43NCE338612","","","","","","","","https://data.globe.gov/system/photos/2019/04/02/1017686/original.jpg","4.1715","73.5033","10000","false","2019-04-02T09:21:00","0","54205784","","","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","14054356","lycee Thilmakha","148574","28PDB042456","","","20","true","","","","https://data.globe.gov/system/photos/2019/04/02/1017711/original.jpg","14.8833","-15.8897","10004","true","2019-04-02T20:50:00","0","51045191","","","cement, metal or plastic tank","false","","true","GLOBE Observer App","","identify-siphon-shape","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","14054356","lycee Thilmakha","148574","28PDB042456","","","18","true","","","","https://data.globe.gov/system/photos/2019/04/02/1017723/original.jpg","14.8834","-15.8898","10006","true","2019-04-02T15:57:00","0","51045191","","","cement, metal or plastic tank","false","","true","GLOBE Observer App","","identify-siphon-shape","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","14054356","lycee Thilmakha","148574","28PDB042456","","","14","true","","","","https://data.globe.gov/system/photos/2019/04/02/1017839/original.jpg","14.8838","-15.8898","10008","true","2019-04-02T22:22:00","0","51045191","","","fountain or bird bath","false","","true","GLOBE Observer App","","identify-siphon-shape","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","14054356","lycee Thilmakha","143313","28PCB659632","","","13","true","","","","https://data.globe.gov/system/photos/2019/04/02/1018002/original.jpg","15.041","-16.2473","10012","true","2019-04-02T13:33:00","0","51045191","","","cement, metal or plastic tank","false","","true","GLOBE Observer App","","identify-siphon-shape","container: artificial",""
"mosquito_habitat_mapper","2019-02-07","2022-02-22T09:26:58","2022-02-22T09:26:58","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/02/07/1018149/original.jpg","-22.9538","-43.1689","10016","true","2019-02-07T18:45:00","0","16004143","","","adult mosquito trap","false","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-02-20","2022-02-22T09:26:58","2022-02-22T09:26:58","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","","","","","","https://data.globe.gov/system/photos/2019/02/20/1018204/original.jpg","-22.9539","-43.1688","10017","true","2019-02-20T19:51:00","0","16004143","","","plant clumps (bamboo etc)","","","false","GLOBE Observer App","","identify","container: natural",""
"mosquito_habitat_mapper","2019-02-27","2022-02-22T09:26:58","2022-02-22T09:26:58","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/02/27/1018206/original.jpg","-22.9538","-43.1689","10018","true","2019-02-27T19:52:00","0","16004143","","","trash container","false","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-03-04","2022-02-22T09:30:24","2022-02-22T09:30:24","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/03/04/1018208/original.jpg","-22.9538","-43.1689","10019","true","2019-03-04T19:53:00","0","16004143","","","can or bottle","false","","false","GLOBE Observer App","","","container: artificial",""
"mosquito_habitat_mapper","2019-03-12","2022-02-22T09:30:24","2022-02-22T09:30:24","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","","","","","","https://data.globe.gov/system/photos/2019/03/12/1018209/original.jpg","-22.9538","-43.1689","10020","true","2019-03-12T19:54:00","0","16004143","","","can or bottle","","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","10","false","","","","https://data.globe.gov/system/photos/2019/04/02/1018211/original.jpg","-22.9538","-43.1689","10021","true","2019-04-02T19:56:00","0","16004143","","","trash container","false","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-03-21","2022-02-22T09:30:24","2022-02-22T09:30:24","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/03/21/1018213/original.jpg","-22.9538","-43.1689","10022","true","2019-03-21T19:57:00","0","16004143","","","rain gutter or other architectural feature","false","","false","GLOBE Observer App","","","container: artificial",""
"mosquito_habitat_mapper","2019-03-29","2022-02-22T09:30:24","2022-02-22T09:30:24","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","","","","","","https://data.globe.gov/system/photos/2019/03/29/1018214/original.jpg","-22.9538","-43.1689","10023","true","2019-03-29T19:58:00","0","16004143","","","jar","","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-03-04","2022-02-22T09:30:24","2022-02-22T09:30:24","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/03/04/1018224/original.jpg","-22.9538","-43.1689","10024","true","2019-03-04T17:05:00","0","16004143","","","can or bottle","false","","false","GLOBE Observer App","","identify","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","20","false","","","","https://data.globe.gov/system/photos/2019/04/02/1018230/original.jpg","-22.9538","-43.1689","10026","true","2019-04-02T17:09:00","0","16004143","","","adult mosquito trap","false","","true","GLOBE Observer App","","identify-photo-abdomen","container: artificial",""
"mosquito_habitat_mapper","2019-04-02","2022-02-22T09:38:35","2022-02-22T09:38:35","2022-06-28T16:50:17","17260446","Escola Minas Gerais","69259","23KPQ877604","","","0","false","","","","https://data.globe.gov/system/photos/2019/04/02/1018231/original.jpg","-22.9539","-43.1688","10027","true","2019-04-02T18:05:00","0","16004143","","","adult mosquito trap","false","","false","GLOBE Observer App","","","container: artificial",""
